id,summaries,Technology_Names,matched_NER_by_borders,matched_NER_final,NER_Extracted_Tags
zCo56rnLiDaTYn2MRFIt3Q_0000,"[""Trevor'S interests in sustainable design has led him towards a focus on Energy-Efficient solutions, in both architecture and engineering, that reduce or even eliminate greenhouse gas emissions and dependency upon fossil fuels. He works directly with owners, Designers, commissioning agents, and general contractors to implement sustainable strategies throughout the design and construction of a project, and he will continually model scenarios to access the overall impact of decisions on the building's anticipated energy consumption. his role also involves assisting a team with navigation through the certification process and the Benchmarking of building performance. affiliations: U. S. green building Council, Colorado chapter emerging professional member software experience: Autodesk Autocad, Revit Autodesk green building studio Trane trace 700, mechanical designer with over three years of experience providing innovative design solutions for commercial buildings. specialties include: Revit Leed/ sustainable design Hvac mechanical engineering Autocad, mechanical designer with over two years of experience providing innovative design solutions for commercial buildings. specialties include: Revit Leed/ sustainable design Hvac mechanical engineering Autocad, affiliations: U. S. green building Council, Colorado chapter emerging professional member software experience: Autodesk Autocad, Revit Autodesk green building studio Trane trace 700, Sustainability leader- Tk-Architecture, LLC, mechanical designer at Bridgers& Paxton, architectural intern- Lka Partners Inc.""]",,0,,
zB43xmcb4LCeW5CEfpXArA_0000,"[""Production supervisor at Thorsen'S greenhouse LLC""]",,0,,
z02DCORbpXGEs3DUY4ebTw_0000,"['I am a curious product evangelist, driving Data-Focused product vision and development for business solutions that combat climate change. I am currently developing and integrating renewable energy innovations to reduce greenhouse gas emissions through technical prowess, effective Cross-Functional communication, and strategic Prioritization to align results with enterprise goals. I am pursuing my MBA at Haas( evening program, class of 2020), focusing on enhancing my product and general management skills. specialties: agile product management, design thinking, data science, web design, meteorology, climate science, renewable energy, forecasting, wholesale energy markets, grid edge, Transactive platforms, user experience, voice of the customer, process improvement, project oversight, Cross-Functional communication, strategy development, senior meteorologist at Pacific gas and electric company. location: San Francisco Bay area; industry: environmental services ... currently, I am employed at Pg& E, working as a operational meteorologist and project manager. Most of my ..., product manager at advanced Microgrid solutions']",,0,,
z-qhb4M1hkLybwPf3WKgNA_0000,"['UK: technical and energy related projects for Horticulture applications. management and implementation of sustainable energy projects( wind, solar, geothermal heat, waste heat, Biomass). innovations and technical support for Horticulture applications and greenhouse applications. business cases, permits, grants, tenders, project management and supervision NL: Technische en Energiegerelateerde Projecten Voor de Glastuinbouwsector. management en Realisatie Van Duurzame Energieprojecten( wind, Zon, Geothermie/ Aardwarmte, Restwarmte, Biomassa, etc). Innovaties en Technische Begeleiding Voor( Glas) Tuinbouwtoepassingen. specialties:( deep) geothermal energy projects.( Diepe) Geothermie Projecten( Aardwarmte). Projectmanagement, managing director at Aab NL( Voorheen agro Adviesburo)']",,0,,
yzszuE40GwkbsUchNBHkvQ_0000,"['Specialties: process technology, Hydrometallurgy, process control, process Optimisation, Flowsheet development and selection, ion exchange, leaching, technology management, project development, feasibility studies, nickel, cobalt, copper, Pgms, gold, Laterite ore, heap leach, alternative energy, greenhouse gas emissions, renewable energy, University of Cape town. connections ... Rob Farnfield head of explosives engineering at Epc-Uk; M.Koksal Ibrahimoglu ... manager infrastructure design& ... Wayne Van ... Vince Smith, student at our Lady of Fatima University. region Iva ..., owner at Techniq process solutions Ltd.']",,0,,
ywPaiYBg8NxVwokMPccEYw_0000,"[""Based in the Geneva region, work to change the energy behaviour in the European ... member of Abb'S business area Service'S global executive committee., global renewable energy specialist. director, corporate customers& strategic partnerships at Ecohz as, providing global greenhouse gas solutions. director, corporate customers& strategic partnerships, global renewable energy solutions. director, corporate customers& strategic partnerships""]",['service'],['service'],[],"['abb', 'service']"
yoRuwTYLvWBCDERr061YbQ_0000,"['Owner, Terrabella greenhouse Inc']",,0,,
yiLUg76Ey4fl2SmgebZdHQ_0000,"[""I have a very broad background in Organismal biology. I like to work with whole organisms, especially plants. training in botany has informed my practice of experimental and ornamental Horticulture. training in zoology, Entomology, mycology, and Microbiology offers me insight into plant Biotic interaction, be it in Gardens, experimental greenhouses, or natural Habitats. I enjoy being creative and solving problems. specialties: plant propagation including determining seed germination& cutting treatment protocols- also Culturing ferns from spores. I enjoy bringing new plants into cultivation: observing them in nature for initial growth parameters followed by tolerance determination in controlled conditions. I am particularly keen on plants of South Africa'S Western Cape including Restionaceae and the Woody Iridaceae, Sfsu bio. DEPT. greenhouse manager""]",,0,,
yfJ0HvJy73UbqZ9SsQouMA_0000,"['Growth operations manager at Arcadia BioSciences, Asst. greenhouse Mgr at Arcadia Bioscience']",,0,,
yfCnik55kaGOLtJMiWZ7yA_0000,"['Supervisor, greenhouse and palm room at wheeling Park Commission']",,0,,
ybyE0vMrwJICN8PSwLu0Zg_0000,"['Senior manager with over 10 years of commercial managment experience in sales, marketing, revenue managment and strategy planning in the airline industry. experienced supervisor of the reservation Department in Maman Aviation Ltd Handeling the airlines booking, Ticketing, payments, marketing etc ... reporting directly to the company C. E. O Preforming a variety of tasks such as presentations, participation in international fares and conferences on behalf of the company; training sessions for the stuff and for the Tourisim industry. Exclusivly handled the costumer service Department of the company including the coordination of legal cases. currently looking for an opportunity to integrate in a new organization in the Tourisim or in other industry, administrative manager at greenhouse it solutions Ltd* we are always looking for the right person to join our family*, sales& marketing manager at Maman Aviation Ltd']",,0,,
yZLDm3vWPpsqlbrvu5EcUA_0000,"['Over 10 years working in media agencies with extensive experience in Digital marketing across both brand and performance channels., over 8 years agency experience working in Digital marketing across both brand and performance channels., 10 years agency experience working in Digital marketing across both brand and performance channels., account director at greenhouse Groupm, account director at initiative UK, account director at MEC London']",,0,,
yR6O9KsLBPF1kQVp7hGQyQ_0000,"['Experienced hardware developer, research scientist and data analyst in the field of Grid-Scale energy projects, with hands-on experience Innovating and testing new battery technology and associated data analysis. I also have management experience of engineering and science teams of 5 to 10. specialties:* research and development* fabrication and Prototyping* Electrochemical energy storage* python and Matlab data analysis* energy technologies and us energy markets* management of Linux computation in clusters or data Servers* research and engineering management* chemical engineering* electrical engineering* materials science* renewable energy technology* fluid mechanics, Multidisciplinary research scientist and engineer. over 50 Peer-Reviewed publications( see Google scholar) in a diverse spectrum of the sciences and engineering. management experience: teams of up to 15 people. My focus is on developing new chemical technologies to solve environmental problems: Electrochemical materials for large-scale batteries, chemical reactor intensification and energy efficiency, global fate& transfer of greenhouse gases and Pollutants, Bioreactor Dynamics, computational simulation of chemical processes, data analysis, environmental issues, sustainable energy, climate change., Multidisciplinary research scientist and engineer with management experience of teams up to 15 people. My focus is on Electrochemical materials for energy storage( batteries), materials science, reactor intensification, Hydrodynamics, Bioreactor Dynamics, computational simulation, computational data analysis, environmental issues, sustainable energy, climate change., senior research scientist at Cuny energy Institute. location: greater New York City area; industry: Renewables& environment. current. City University of New York ... management of Linux computation in clusters or data Servers ... from November 2000 to July 2001 I built/ ran laboratory efforts to measure Bidirectional ..., senior research scientist at Cuny energy Institute at city University of New York, senior scientist in battery research& development at city University of New York, medical device- software engineering, back office technical support']",,0,,
yMBaK55NAYpmqjp77j80Yw_0000,"['International business development and sales as reseller for- Attunity Ltd.- Commitwork GmbH- computer security products Inc.- greenhouse software and ..., business development manager Emea at Comforte 21 GmbH, sales director Emea& Apj at Comforte 21 GmbH, director global sales at Comforte 21 GmbH, sales director Emea at Comforte 21 GmbH']",,0,,
yFzFWjELYZmk7RMv6MdxUg_0000,"[""I am the business development manager for Verdo Renewables, one of the Uk'S four producers of en plus' a grade' wood pellets, with pellet factories in Andover, England and Grangemouth, Scotland. My focus is on developing the sale of full Lorry loads of loose bulk blown pellets in the UK for commercial customers, and the supply of bagged pellets for domestic and commercial customers. Verdo Renewables has a production capacity of 110,000 tonnes of pellets made from UK wood, supplied from sustainable sources and approved on the UK' Biomass suppliers list',( ensuring at least a 60% saving of greenhouse gas( Ghg) emissions against the Eu fossil fuel average). We supply wood pellets throughout the UK at the most competitive prices, and I welcome requests for pellet supply- bagged, full Lorry loads and part loads,( which we refer to our extensive network of UK Re-Sellers). please contact me via linked in, or our sales team- Sales@Verdorenewables.Co.Uk., my role is to develop opportunities to supply renewable heat and power, by the Gasification of Biomass pellets, at the point of use in the UK., renewable heat and power plant as a service, a leader in the renewable energy revolution, bulk direct and bagged wood pellet supply""]",,0,,
yDb1EvUq5xuJIv6xYvtMSw_0000,"[""Always trying to reflect on the results from difficult ventures, whether their outcomes be successes or failures. I never thought I'd start a carpet cleaning business, but I'm enjoying the challenges that growing a small business entail! Luckily, I've experienced a variety of roles and professional positions, ranging from leading teams through hazardous terrain and weather to execute forestry and wildlife operations, to working as a vendor at Seattle'S famous Pike's place farmer's market! I've also worked as a live sound engineer, ran a side business offering Video and photography services, assisted in brewing timber city ginger beer, and helped raise endangered Hawaiian plant species as a greenhouse technician. This wide variety of experiences has allowed me to approach learning new skills and taking on fresh challenges with a positive mindset and confidence in my potential abilities. I love connecting with fellow Appasianatos. So please get in touch with me! I'd love to hear what you have to say and share ideas!- matt, my name is matt and I am an entrepreneur. My goal is to be completely financially independent by the time I reach 40. I am currently the owner of Crimishimi productions, a Video media company that specializes in the production of brand building videos. I love working with small businesses and organizations, whose team members are proud of what they do because they know their actions have a significant impact on their company. I live in Seattle, and plan to stay here indefinitely. In practicing love, hard work, honesty, grit, self-discipline, and courage, I believe that success is inevitable. please feel free to make me a connection. I would love to hear from you!, sales representative at timber city ginger beer, owner of owner of North Seattle carpet cleaning, owner at Crimishimi productions""]",,0,,
y9yTtnHNT9GdvX9msyh10Q_0000,"['I have over 9 years of work experience in environmental, climate change and Sustainability domain with strong research background and also have technical and Analytical skills which has enabled me to contribute my knowledge and experience in implementation of environment friendly policies that have benefited both the organization and associated Stakeholders. Research specialization and expertise include: environmental impact assessment( EIA), greenhouse gases inventory/ measurement, carbon sequestration, clean development mechanism( Cdm), air pollution monitoring, urban greening, conservation of Eco-Sensitive areas, Biodiversity mapping/ characterization/ assessment using remote sensing and GIS software specialties/ skills: image processing: Erdas imagine 9.0 GIS: arc GIS, map Info professional, environmental services, Sustainability, climate change, UN Sdgs, energy, CSR']",,0,,
y-X7hhKuPBgsSPkIzHjVMw_0000,"['The greenhouse landscaping& lawn care service was founded with one gold in mind- to help provide a full range of superior landscaping services, including landscaping, Hardscaping and lawn maintenance, at affordable rates to the residences of San Antonio areas. Our company has grown over the years from a two person operation to a full staff of professionals able to meet your landscaping needs. We are dedicated to building a long term relationship with each and every client by providing the highest standard of quality on each and every project we do. I am a Experianced owner with a demonstrated history of working in the landscaping and design industry. skilled in banking, advertising, sales, retail, and graphic design. strong Entrepreneurship professional graduated from HM King high school, Kingsville, Texas. I speak both English and Spanish., owner at the greenhouse landscaping& lawn care services']",,0,,
y-UJRt6MLDT72DE593suAQ_0000,"['I have a small business John mark repairs specialties: small engine and home repairs, maintenance supervisor at Westbrook greenhouse systems']",,0,,
xzww0QqcptRWB6ENh-y6xA_0000,"['Interested in paid full-time environmental and wildlife management positions and opportunities anywhere in the world. Jason Teichman is a graduate student researching environmental management and policy. Research interests include environmental management, regional land use planning, watershed management, pollution management systems, conservation biology strategies, environmental justice, technology, sustainable and renewable energy systems. interested in collaborating with others to create happier and healthier communities., Self-Motivated and Detail-Oriented project manager 5+ years managing Broadband facilities construction, outside plant( osp) management, and commercial construction project management. excel at staff supervisor, technical training, and standards compliance. demonstrated success in the field, office, and classroom. technical subject matter expert in environmental compliance, environmental sampling, Broadband osp construction and general order 95 audits, project management, and technical instruction., interested in paid full time environmental and wildlife management opportunities anywhere in the world. Jason Teichman is a graduate student researching environmental management and policy. Research interests include environmental management, regional land use planning, watershed management, pollution management systems, conservation biology strategies, sustainable and renewable energy systems. interested in collaborating with others to create happier and healthier communities., Self-Motivated and Detail-Oriented professional excited about opportunities to serve the public, advocate for social justice, conserve natural resources, and protect our environment. subject matter expert in project management techniques, adult learning, environmental planning, environmental sampling, air quality management, watershed and water quality management issues, and urban farming techniques, greenhouse production., us Marshal- Department of justice- Yuma, Az ... I worked closely with him for several years at time Warner Cable and have found him extremely competent ..., project manager, instructor,& Cultivator interested in new opportunities, professional ready to get to work']",,0,,
xweqxnCZvs0BF0HwbKdJWQ_0000,"['How do we deliver food, education, energy, water, and health care to 9.5 billion people in the year 2050? I am interested in disruptive innovation and overall resource productivity and how they relate to shifting the global economy onto a more sustainable platform. Many large-scale economic activities in existence today will not scale as we attempt to meet the needs of more and more people over the next 35 years. In this connection I am deeply interested in the potential of synthetic biology as a platform to dramatically improve overall resource productivity., I am interested in the emerging relationship between climate and energy. How do we continue to increase the total amount of energy available and simultaneously keep concentrations of greenhouse gases in the atmosphere at safe levels? this involves exploring potential breakthrough Technologies in, for example, artificial Photosynthesis and quantum computing. The economic consequences and opportunities are staggering., urbanization is a major global trend that will change almost everything about how cities and people function together. No where is this more evident than in the way people will chose to move themselves around large Urban-Suburban environments. Uniti is completely Redesigning the idea of personal urban transport. It is rapidly becoming a global leader in the emerging autonomous vehicle space. Uniti.Earth, visiting professor at Paris school of international affairs, Sciencespo, visiting professor at centre de Recherches Interdisciplinaires, senior fellow at Ray C. Anderson foundation, chairman at Uniti Sweden AB']",,0,,
xszeBsOERG6VX2VLUWXIfw_0000,"[""I'm a management advisor that helps organisations succeed by better understanding and responding to the risks and uncertainties that they face. I've been fortunate enough to work with great clients throughout my career including financial services, resources, telecommunications and the public sector. This experience has taught me a lot about what it takes for organisations to manage risk well. like most of us at Pwc I'm passionate about helping businesses think long term and the role that they play in society. find out more at Www.Pwc.Com.Au. My main areas of specialty include: enterprise risk management; operational and compliance risk management; workplace health and safety; Sustainability and climate change; greenhouse and energy reporting and assurance. please reach out if there is anything I can do to help you or connect you with any or my Pwc colleagues., John is a partner in our risk consulting practice in Sydney. He is recognised for his experience in assisting clients transform their approaches to the management of operational risk. his clients have spanned industry sectors but his focus is predominantly in the mining, resources and energy sector, the financial services sector and the intersection between the two. specialties: risk and value management, enterprise risk management, operational risk management, operational risk Quantification, performance alignment, climate change, carbon trading, greenhouse and energy reporting and assurance, Sustainability, health and safety, management systems, partner at Pwc Australia| risk and regulation""]",,0,,
xsDmM1mYKS-rbvNCJI6-iQ_0000,"['I am a competent manager with a strong technical background and more than 40 years experience in a variety of fields: process engineering, project management, research management, procurement, operations, and used to accept new challenges and work in new fields, not limited to the Netherlands. It is my goal to perform within budget, planning and satisfaction of my client, with full development and joy of my coworkers. specialties: project management of projects in new fields and developments, with ample possibilities to use my process engineering Analytical skills, my procurement negotiating techniques and my people managements qualities., owner( Dga)/ consultant ... heat and Co2 to the growers in the future development in the Terneuzen greenhouse area . ... the municipality of Amere, the Netherlands, started the construction and operation of an ... Stedelijk Gymnasium, Breda., application development and maintenance, owner/ consultant at Korenwolf B. V.']",,0,,
xcohc3KiJHaIz1L5lBjSJg_0000,"['Ashley Babischkin. business technology consultant at Deloitte consulting. location: Washington D. C. Metro area; industry: information technology and ..., business technology consultant consulting at Deloitte, senior consultant at Deloitte greenhouse experience, application development and maintenance, lead at Deloitte greenhouse experience, medical device- software engineering, aerospace software and Frameworks, investment banking- back office, retail banking- back office']",,0,,
xb3BqBBv-AOe2WaC40c0uA_0000,"['Manager of business affairs at greenhouse agency, Inc, marketing and advertising professional']",,0,,
xZazgQg5PNLNqwvGqO8M2Q_0000,"['Specialties: developed customized soil and Foliar amendment/ fertilizer protocols for various crops( organic butternut squash, organic greenhouse tomatoes, peaches) developed treatment protocols for applying hydrogen peroxide as water treatment to control Biofilm and soil disease in flower Productiongreenhouses, Feb 2, 2015 ... location: Kitchener, Canada area; industry: farming ... Freelance writer/ editor. Portland, Oregon area ... master gardener level III at quantum 9, Inc., owner, Superfast solutions at Superfast solutions']",,0,,
xMJAxuRQEIXFx8rvLbLE1w_0000,"['Studying greenhouse and Horticulture business. experienced in urban farming, nature preservation, Hydroponic growing, and greenhouse production. practices Permaculture, and intensive gardening methods. board member of farm fresh Atlas of se Wisconsin-- eat local food., studying greenhouse& Horticulture business. experienced in urban farming, nature preservation, and Hydroponic growing.']",,0,,
xHHeXFG5zUrbzJHfVwpOPw_0000,"['Analyst an energy and Sustainability analyst with experience in climate change and Sustainability impact assessment and measurement, corporate responsibility and electricity market operations. logical thinker with strong Analytical and communication skills. wide experience and interests in electricity market products and services and climate change strategy and delivery. specialties developing and delivering effective measurement processes to manage non-financial performance, greenhouse gas emissions accounting, effectively Sourcing and sharing electricity market information with operations staff and electricity industry participants, Procuring energy services for electricity control room, change management and introduction of new ideas and processes., market analysis manager at national grid']",,0,,
xGgDkpTIzHzXQ0V2ce-qLQ_0000,"['Iconics are a long standing Microsoft gold certified partner that utilizes the latest Microsoft technologies and is proud to be the winner of multiple awards for technology Leadership.This includes receiving the 2012 Microsoft Sustainability partner of the year award. The company is head Quartered in Foxborough, Massachusetts and has offices throughout the United States, Netherlands, United Kingdom, Australia, Czech Republic, China, Italy, India, France and Germany. Iconics has the solution to help improve productivity, reduce operating costs, detect faults, offer real time Visualisation and curtail carbon based greenhouse gases. Iconics products are used in automotive, building automation, renewable energy, utilities, water/ wastewater, oil& gas, pharmaceuticals and many other applications. Http://Www.Iconics-Uk.Com/ Http://Iconics.Com/Home.Aspx, administration supervisor at Iconics, investment banking- back office, retail banking- back office']",,0,,
wykNucfdKl1QiAlXIWppuA_0000,['General manager greenhouse operations at CSS farms'],,0,,
wmvi7uf7-OlIJvTrJv3dng_0000,"['Marketing and operations specialist with a demonstrated history of project management and process improvement for recruiting. experience working with greenhouse ATs, Avature ATs, Microsoft office, Google suite, Google ANALYTICS, and SQL., Dana Djerf. integrated marketing associate, TV& media at Wayfair. location: greater Boston area; industry: marketing and advertising ... University of Massachusetts( Umass) Amherst alumni ... senior manager- TV planning& buying ..., specialist, global recruiting operations at Bain& company, program integration associate, TV& media at Wayfair, people operations at Formlabs']",,0,,
wioxQJPwFlw5ibSN4ALCUQ_0000,"['Experienced manager with a demonstrated history of working in the graphic design industry. skilled in customer service, management, production management, account management, and sales. strong professional graduated from Holmer green secondary school., Signage manager at greenhouse Graphics']",,0,,
wfqz6g9HbBWecxXoNjoVfA_0000,"[""My core motivation is the desire to see a more diversified, resilient, and equitable food system. This drive, and my Curiousity to learn more and more about food production, brought me to many small farms in and around Nyc. Now I'm working at Brooklyn Grange, a rooftop farming company that inspires me and many others to find real paths towards a more sustainable future. My experience includes Hydroponics, Aquaponics, greenhouse management, farm operations, food safety, system design, and farm education. outside of work, I take classes with farm school Nyc and Nybg, sell some Lasercut jewelry on Etsy( Mayblemakes), and hang out at Nyc resistor, a Brooklyn Makerspace, want to learn more about Hydroponics? Kate Lodvikov and I are teaching a 5- week Intro course at Nybg in February, stay tuned for a registration link., since high school, I have been passionate about better food systems, and Hydroponic cultivation offers me the perfect nexus of engineering challenges with potential for more just and sustainable food production. My core motivation is the desire to see a more diversified, resilient, and equitable food system. My experience in Hydroponics includes greenhouse management, operations, food safety, system design, and teaching. outside of work, I manage an Aquaponics system with engineers for a sustainable world Nyc, take classes with farm school Nyc and Nybg, and hang out at Nyc resistor, a Brooklyn Makerspace., I recently graduated from Smith college with a B. S. In engineering sciences and a concentration in sustainable food. My studies focused on Sustainability, especially renewable energy and food production, and I am pleased to be working for Cuce-Nyc in their Aquaculture, Hydroponics, and Aquaponics LABS. I am also working with engineers for a sustainable world to start a professional chapter in Nyc. In my free time, I enjoy drawing, crafts, and Arduino projects., I am a senior at Smith college seeking a B. S. In engineering sciences and a concentration in sustainable food. My main focus is Sustainability, especially through renewable energy and food production. I am an active member and president of engineers for a sustainable world at Smith. In my free time, I enjoy gesture drawing and learning about DIY Aquaponic systems., I am a Hydroponics technician with a B. S. In engineering sciences and a concentration in sustainable food and three cumulative years of experience in Hydroponics and Horticulture. In my free time, I work with engineers for a sustainable world and craft at Nyc resistor, a Brooklyn Hackerspace., Hydroponics/ Aquaculture science and technology assistant, Cornell University cooperative extention, president at engineers for a sustainable world, Smith chapter, president of engineers for a sustainable world, Smith chapter, Hydroponic grower, technician, educator, grower at element farms""]",,0,,
wcpcnU4Fzp1hZ9FrSfwl6g_0000,"['Senior statistician, greenhouse gas inventory unit at Statistics Finland']",,0,,
wcW7sxLystWzdmLmJnr6GA_0000,"['... operations; and, large civil engineering projects across Australia, New Zealand, Malaysia and Hong Kong . ... internal reporting to the senior management; energy and greenhouse gas strategy, ... of project plans and process/ system documentation; provide input for tenders and ... installation engineer at Technip Oceania ..., managing principal at discipline 8- Multi-Disciplinary consultants, group health, environment and quality manager at Macmahon, regulatory, compliance and quality control, investment banking- middle office']",,0,,
wSWtR3tKBM8T2ziffG4CGQ_0000,"['I have worked the first part of my career in controlled environment Agriculture as a grower and now over a decade in high Tech closed environment and vertical farming technology development. I have been managing proprietary Vera vertical farm development for five years now and been involved in seven big scale vertical farming projects so far. My philosophy is to work as a trusted long term technology partner for modern vegetable producers allowing more companies, such as funds, supermarket chains and food industry operators to enter the rapidly developing transformation of vegetable production Technologies., managing several led lighting Porjects in commercial greenhouse business. managing global partners in production. technical development and evaluation. With commercial growing as background, my goal is to assist commercial greenhouses to increase their Competive potential by offering innovative technological solutions for growth lighting. specialties:- general management,- R& D management and evaluation- project management., general manager at Netled Oy, Ceo at Netled Oy']",,0,,
wSTetgVKqIMENmg7iByrDQ_0000,"['Sustainable agriculture, creating and maintaining fertile soil. skilled in greenhouse design and construction. Vermiculturist. creator of Live-Food Vegan desserts, chocolates, and Entrees. assists others in the transition to physical health and Vibrance.* currently raising and breeding Adga registered Nubian& Alpine dairy goats, bearded white silken chickens, keeping honey bees and growing seasonal food crops for local distribution.* specialties: natural health, Herbalism, and sustainable Agriculture techniques. creating food items with Superfoods. raw chocolate expertise/ living food preparation. raw food production systems. urban farming. self sustainable Eco-System models. comfortable with public speaking., owner operator at BW dairy Caprines at three trees productions']",,0,,
wPFbxKRZh7KcJMuXI2xXIw_0000,"[""I joined the B lab team as a B impact fellow in July 2015, after graduating from Cal Poly Pomona with a M. S in Regenerative studies and a B. S. In communications: public relations. While at Cal Poly Pomona I was a member of the women's basketball team for four years and took a leadership role on multiple projects to advance Sustainability on campus. I am passionate about the ways people and businesses can come together to create social impact. In graduate school, I worked with Non-Profits to support work in Underserved communities and facilitated new connections on my university's campus to reduce greenhouse gas( Ghg) emissions. through my work at B lab I have been able to support hundreds of businesses in bench marking their social and environmental impact and planning for positive improvement., currently a B lab fellow supporting business being used as a force for good. I am helping to drive the' best for Nyc' campaign alongside the New York City economic development Corporation( Nycedc). This campaign invites and supports businesses in Nyc to measure and improve their impact on workers, community, and the environment. I am interested in the ways businesses can evaluate and manage their non-financial bottom line to improve resiliency, profits, and the world we live in., currently a B impact fellow supporting business being used as a force for good. I am helping to drive the' best for Nyc' campaign at the New York City economic development Corporation( Nycedc). This campaign inspires and supports businesses in Nyc to measure and improve their impact on workers, community, and the environment. I am interested in the ways businesses can evaluate and manage their non-financial bottom line to improve resiliency, profits, and the world we live in., community engagement manager at shared value media, B impact fellow at B lab, B Corp fellow at B lab""]",,0,,
wDU56OvZgUbBHU7B7MWdqw_0000,"[""I am a strategic partner for recruiting teams and all functions that touch hiring. It's extremely rewarding for me to be exposed to a wide range of companies and help them scale successfully to achieve their mission. Some of the big things they're focusing on are: Self-Driving cars, equal opportunity for access to affordable housing, criminal justice reform, funding startups, Cryptocurrency use cases, DNA sequencing, defeating Neurodegenerative disease, and much more. skills: recruiting operations, customer success, problem solving, coaching, relationship building, process improvement, change management, technology implementation, project management, financial operations, I am a strategic partner for talent teams and all functions that touch hiring. It's extremely rewarding for me to be exposed to a wide range of companies and help them scale successfully to achieve their mission. Some of the big things they're focusing on are: Self-Driving cars, equal opportunity for access to affordable housing, criminal justice reform, funding startups, Cryptocurrency use cases, DNA sequencing, defeating Neurodegenerative disease, and much more. skills: recruiting operations, customer success, problem solving, coaching, relationship building, process improvement, change management, technology implementation, project management, financial operations, Kevin do. consultant at Deloitte ... education. University of California, Irvine ... advisory consultant- finance transformation/ Cfo& Controllership services., senior customer success manager at greenhouse software, customer success manager@ greenhouse software, Inc.""]",,0,,
